# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11027347320488
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.48%     0.00%  java             [kernel.kallsyms]         [k] alloc_misplaced_dst_page
     0.48%     0.39%  java             [kernel.kallsyms]         [k] __count_memcg_events
     0.48%     0.05%  java             [kernel.kallsyms]         [k] isolate_lru_page
     0.47%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     0.47%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     0.47%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
     0.47%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     0.47%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     0.47%     0.01%  java             [kernel.kallsyms]         [k] migrate_page_copy
     0.47%     0.03%  kworker/u96:0-e  [kernel.kallsyms]         [k] end_page_writeback
     0.46%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] filemap_get_pages
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_mmap
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] ksys_mmap_pgoff
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] vm_mmap_pgoff
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] do_mmap
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] mmap_region
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] __do_munmap
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_region
     0.46%     0.00%  java             [kernel.kallsyms]         [k] __put_page
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_vmas
     0.46%     0.00%  VM Thread        [kernel.kallsyms]         [k] unmap_single_vma
     0.46%     0.22%  java             [kernel.kallsyms]         [k] numa_migrate_prep
     0.45%     0.07%  VM Thread        [kernel.kallsyms]         [k] unmap_page_range
     0.45%     0.06%  java             [kernel.kallsyms]         [k] migrate_page_states
     0.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ondemand_readahead
     0.45%     0.00%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     0.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] page_cache_async_ra
     0.45%     0.01%  java             [kernel.kallsyms]         [k] irqentry_exit
     0.45%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] move_to_new_page
     0.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_page
     0.44%     0.01%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     0.44%     0.05%  java             [kernel.kallsyms]         [k] lru_cache_add
     0.44%     0.00%  kworker/u98:1-e  [kernel.kallsyms]         [k] mpage_submit_page
     0.43%     0.02%  InMemoryMerger   [kernel.kallsyms]         [k] __mark_inode_dirty
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] lru_cache_add_inactive_or_unevictable
     0.42%     0.01%  java             [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.42%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_get_pages
     0.42%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] alloc_pages
     0.42%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] try_charge_memcg
     0.42%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_dirty_inode
     0.41%     0.16%  localfetcher#1   [kernel.kallsyms]         [k] charge_memcg
     0.41%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] __alloc_pages
     0.41%     0.01%  Sampler Reader   [kernel.kallsyms]         [k] handle_mm_fault
     0.41%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] __mark_inode_dirty
     0.40%     0.37%  java             [kernel.kallsyms]         [k] page_vma_mapped_walk
     0.40%     0.40%  InMemoryMerger   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.39%     0.11%  kworker/u96:0-e  [kernel.kallsyms]         [k] test_clear_page_writeback
     0.39%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_dirty_inode
     0.39%     0.07%  pool-4-thread-1  [kernel.kallsyms]         [k] get_page_from_freelist
     0.38%     0.04%  Sampler Reader   [kernel.kallsyms]         [k] __handle_mm_fault
     0.38%     0.07%  java             [kernel.kallsyms]         [k] __pagevec_lru_add
     0.38%     0.02%  java             [kernel.kallsyms]         [k] mem_cgroup_migrate
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] kthread
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] ret_from_fork
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] worker_thread
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] process_one_work
     0.38%     0.01%  VM Thread        [kernel.kallsyms]         [k] asm_exc_page_fault
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] wb_workfn
     0.38%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] wb_writeback
     0.37%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.37%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] __writeback_single_inode
     0.37%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] do_writepages
     0.37%     0.00%  kworker/u97:6-e  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.37%     0.02%  kworker/u97:6-e  [kernel.kallsyms]         [k] ext4_writepages
     0.37%     0.04%  kswapd0          [kernel.kallsyms]         [k] __remove_mapping
     0.36%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_timer
     0.34%     0.04%  localfetcher#1   [kernel.kallsyms]         [k] lru_cache_add
     0.34%     0.03%  java             [kernel.kallsyms]         [k] update_process_times
     0.34%     0.16%  java             [kernel.kallsyms]         [k] charge_memcg
     0.34%     0.06%  kworker/u98:1-e  [kernel.kallsyms]         [k] ext4_bio_write_page
     0.34%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] asm_exc_page_fault
     0.33%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_handle
     0.33%     0.30%  java             [kernel.kallsyms]         [k] page_counter_charge
     0.33%     0.02%  java             [kernel.kallsyms]         [k] lock_page_lruvec_irq
     0.32%     0.00%  VM Thread        [kernel.kallsyms]         [k] exc_page_fault
     0.32%     0.00%  java             [kernel.kallsyms]         [k] __mem_cgroup_uncharge
     0.32%     0.00%  VM Thread        [kernel.kallsyms]         [k] tlb_flush_mmu
     0.31%     0.30%  java             [kernel.kallsyms]         [k] task_numa_fault
