# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.33%     0.00%  kcompactd1       [kernel.kallsyms]     [k] remove_migration_pte
     0.33%     0.03%  postgres         [kernel.kallsyms]     [k] mpage_process_page_bufs
     0.32%     0.02%  postgres         [kernel.kallsyms]     [k] ext4_block_write_begin
     0.32%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_write
     0.32%     0.00%  postgres         [kernel.kallsyms]     [k] ksys_write
     0.32%     0.02%  postgres         [kernel.kallsyms]     [k] set_task_cpu
     0.31%     0.26%  postgres         [kernel.kallsyms]     [k] __tlb_remove_page_size
     0.30%     0.08%  postgres         [kernel.kallsyms]     [k] set_page_dirty
     0.29%     0.27%  postgres         [kernel.kallsyms]     [k] PageHuge
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] asm_common_interrupt
     0.29%     0.00%  kcompactd1       [kernel.kallsyms]     [k] move_to_new_page
     0.29%     0.02%  postgres         [kernel.kallsyms]     [k] migrate_task_rq_fair
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] __common_interrupt
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] common_interrupt
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] handle_edge_irq
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] handle_irq_event
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] __handle_irq_event_percpu
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] nvme_process_cq
     0.29%     0.00%  postgres         [kernel.kallsyms]     [k] nvme_irq
     0.28%     0.00%  postgres         [kernel.kallsyms]     [k] nvme_pci_complete_rq
     0.27%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_end_request
     0.27%     0.00%  postgres         [kernel.kallsyms]     [k] nvme_complete_rq
     0.26%     0.03%  postgres         [kernel.kallsyms]     [k] ext4_bio_write_page
     0.26%     0.00%  postgres         [kernel.kallsyms]     [k] remove_entity_load_avg
     0.25%     0.02%  postgres         [kernel.kallsyms]     [k] filemap_map_pages
     0.25%     0.02%  postgres         [kernel.kallsyms]     [k] __count_memcg_events
     0.25%     0.00%  swapper          [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.25%     0.23%  postgres         [kernel.kallsyms]     [k] page_mapping
     0.25%     0.00%  swapper          [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.24%     0.00%  postgres         [kernel.kallsyms]     [k] sock_sendmsg
     0.24%     0.24%  postgres         [kernel.kallsyms]     [k] __fget_light
     0.24%     0.00%  postgres         [kernel.kallsyms]     [k] ttwu_do_activate
