# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_da_get_block_prep
     0.04%     0.04%  kcompactd1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __sys_sendto
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_sendto
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sock_sendmsg
     0.04%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.04%     0.00%  postgres    [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.04%     0.04%  postgres    [kernel.kallsyms]  [k] page_mapping
     0.04%     0.04%  postgres    [kernel.kallsyms]  [k] next_uptodate_page
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] newidle_balance
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] pick_next_task_fair
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_sync_file
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] file_write_and_wait_range
     0.03%     0.03%  swapper     [kernel.kallsyms]  [k] poll_idle
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __sys_recvfrom
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sock_recvmsg
     0.03%     0.02%  postgres    [kernel.kallsyms]  [k] update_process_times
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] tick_sched_handle
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] tick_sched_timer
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] alloc_pages
     0.03%     0.03%  postgres    [kernel.kallsyms]  [k] ext4_es_lookup_extent
     0.03%     0.00%  swapper     [kernel.kallsyms]  [k] __schedule
     0.03%     0.00%  swapper     [kernel.kallsyms]  [k] pick_next_task_fair
     0.03%     0.00%  swapper     [kernel.kallsyms]  [k] schedule_idle
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] load_balance
     0.03%     0.01%  postgres    [kernel.kallsyms]  [k] lru_cache_add
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __alloc_skb
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] alloc_skb_with_frags
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] sock_alloc_send_pskb
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __page_cache_alloc
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] enqueue_entity
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] enqueue_task
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] enqueue_task_fair
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ttwu_do_activate
     0.03%     0.03%  swapper     [kernel.kallsyms]  [k] pick_next_entity
     0.03%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] unix_write_space
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] consume_skb
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] skb_release_head_state
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sock_wfree
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unix_destruct_scm
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unix_stream_read_generic
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] unix_stream_recvmsg
     0.03%     0.01%  postgres    [kernel.kallsyms]  [k] get_page_from_freelist
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] __alloc_pages
     0.03%     0.03%  tclsh8.6    [kernel.kallsyms]  [k] free_unref_page
     0.03%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __put_page
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_map_blocks
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_readahead
     0.03%     0.00%  postgres    [kernel.kallsyms]  [k] read_pages
