# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11344016313642
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.42%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_dirty_inode
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] kthread
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] ret_from_fork
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] worker_thread
     0.42%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] process_one_work
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_workfn
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] wb_writeback
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_inodes_wb
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] writeback_sb_inodes
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] __writeback_single_inode
     0.41%     0.00%  kworker/u97:13-  [kernel.kallsyms]   [k] do_writepages
     0.41%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] filemap_get_pages
     0.41%     0.03%  kworker/u97:13-  [kernel.kallsyms]   [k] ext4_writepages
     0.40%     0.00%  java             [kernel.kallsyms]   [k] __put_page
     0.40%     0.01%  java             [kernel.kallsyms]   [k] asm_sysvec_call_function
     0.40%     0.01%  java             [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.40%     0.16%  localfetcher#1   [kernel.kallsyms]   [k] charge_memcg
     0.39%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] __alloc_pages
     0.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] asm_exc_page_fault
     0.39%     0.01%  java             [kernel.kallsyms]   [k] migrate_page_copy
     0.39%     0.00%  VM Thread        [kernel.kallsyms]   [k] tlb_flush_mmu
     0.39%     0.01%  pool-4-thread-1  [kernel.kallsyms]   [k] alloc_pages
     0.38%     0.01%  java             [kernel.kallsyms]   [k] __remove_mapping
     0.38%     0.01%  VM Thread        [kernel.kallsyms]   [k] asm_exc_page_fault
     0.38%     0.06%  java             [kernel.kallsyms]   [k] migrate_page_states
     0.37%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.37%     0.10%  kworker/u96:0-e  [kernel.kallsyms]   [k] test_clear_page_writeback
     0.37%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] filemap_get_pages
     0.37%     0.00%  kworker/u98:1-e  [kernel.kallsyms]   [k] mpage_submit_page
     0.37%     0.00%  VM Thread        [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] ondemand_readahead
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_ra_unbounded
     0.36%     0.08%  VM Thread        [kernel.kallsyms]   [k] release_pages
     0.36%     0.01%  Sampler Reader   [kernel.kallsyms]   [k] handle_mm_fault
     0.36%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.36%     0.05%  java             [kernel.kallsyms]   [k] lru_cache_add
     0.36%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] page_cache_async_ra
     0.35%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_timer
     0.35%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] get_page_from_freelist
     0.34%     0.03%  Sampler Reader   [kernel.kallsyms]   [k] __handle_mm_fault
     0.33%     0.00%  java             [kernel.kallsyms]   [k] sysvec_call_function
     0.33%     0.27%  LocalJobRunner   [kernel.kallsyms]   [k] rmqueue_bulk
     0.33%     0.03%  java             [kernel.kallsyms]   [k] update_process_times
     0.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] exc_page_fault
     0.33%     0.03%  kswapd0          [kernel.kallsyms]   [k] __remove_mapping
     0.33%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_handle
     0.33%     0.02%  java             [kernel.kallsyms]   [k] lock_page_lruvec_irq
     0.32%     0.32%  swapper          [unknown]           [.] 0000000000000000
     0.32%     0.00%  VM Thread        [kernel.kallsyms]   [k] exc_page_fault
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] move_to_new_page
     0.32%     0.27%  LocalJobRunner   [kernel.kallsyms]   [k] get_mem_cgroup_from_mm
     0.32%     0.32%  InMemoryMerger   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] migrate_page
