# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8025463247800
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.43%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] worker_thread
     0.42%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] process_one_work
     0.42%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.42%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] wake_up_q
     0.41%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] scheduler_tick
     0.41%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.41%     0.11%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.41%     0.00%  VM Thread        [kernel.kallsyms]         [k] __x64_sys_sched_yield
     0.41%     0.08%  java             [kernel.kallsyms]         [k] ptep_clear_flush
     0.41%     0.03%  kcompactd0       [kernel.kallsyms]         [k] compaction_alloc
     0.40%     0.03%  kswapd1          [kernel.kallsyms]         [k] shrink_page_list
     0.40%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_async_ra
     0.39%     0.27%  java             [kernel.kallsyms]         [k] mpol_misplaced
     0.39%     0.39%  LocalJobRunner   [kernel.kallsyms]         [k] __get_user_nocheck_1
     0.39%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] create_empty_buffers
     0.39%     0.04%  java             [kernel.kallsyms]         [k] task_tick_fair
     0.38%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] __block_commit_write.constprop.0.isra.0
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] worker_thread
     0.38%     0.00%  kworker/u96:0-e  [kernel.kallsyms]         [k] kthread
