# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.14%     0.02%  postgres         [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.14%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.14%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.13%     0.01%  postgres         [kernel.kallsyms]  [k] get_futex_key
     0.13%     0.12%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.13%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.12%     0.00%  postgres         [kernel.kallsyms]  [k] do_filp_open
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.12%     0.04%  postgres         [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.12%     0.00%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     0.12%     0.00%  postgres         [kernel.kallsyms]  [k] path_openat
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.12%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.11%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_pages
     0.10%     0.06%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.10%     0.01%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] dequeue_task
     0.10%     0.02%  postgres         [kernel.kallsyms]  [k] workingset_activation
     0.10%     0.00%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.10%     0.01%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_sendto
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.09%     0.08%  postgres         [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_sendmsg
     0.09%     0.02%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_map_blocks
     0.09%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] io_schedule
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.09%     0.01%  postgres         [kernel.kallsyms]  [k] newidle_balance
     0.09%     0.09%  postgres         [kernel.kallsyms]  [k] workingset_age_nonresident
     0.09%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.08%     0.03%  kcompactd0       [kernel.kallsyms]  [k] migrate_page_move_mapping
     0.08%     0.02%  kcompactd0       [kernel.kallsyms]  [k] split_map_pages
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_sendmsg
