# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 1652674654523
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                       
# ........  ........  ...............  ...................  .............................................................................................................................................................................
#
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     0.46%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     0.45%     0.15%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.45%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_enter
     0.45%     0.39%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.45%     0.29%  mariadbd         [kernel.kallsyms]    [k] kfree
     0.44%     0.44%  mariadbd         libpthread-2.28.so   [.] __lll_lock_wait
     0.44%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     0.44%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     0.44%     0.11%  mariadbd         [kernel.kallsyms]    [k] gup_pgd_range
     0.43%     0.43%  mariadbd         libpthread-2.28.so   [.] __pthread_mutex_lock
     0.42%     0.04%  mariadbd         [kernel.kallsyms]    [k] update_blocked_averages
     0.41%     0.03%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.41%     0.41%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.41%     0.03%  swapper          [kernel.kallsyms]    [k] rebalance_domains
     0.40%     0.35%  swapper          [kernel.kallsyms]    [k] switch_mm_irqs_off
     0.40%     0.03%  swapper          [kernel.kallsyms]    [k] tick_nohz_stop_tick
     0.40%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_actor
     0.40%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.40%     0.03%  mariadbd         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.40%     0.05%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.40%     0.09%  mariadbd         [kernel.kallsyms]    [k] skb_release_data
     0.39%     0.39%  mariadbd         [kernel.kallsyms]    [k] __switch_to
     0.39%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] skb_copy_datagram_iter
     0.38%     0.04%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_wakeup
     0.38%     0.38%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_addr_offset
     0.38%     0.05%  swapper          [kernel.kallsyms]    [k] hrtimer_next_event_without
     0.38%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] obj_cgroup_charge
     0.38%     0.01%  mariadbd         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.38%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __skb_datagram_iter
     0.37%     0.05%  swapper          [kernel.kallsyms]    [k] load_balance
     0.37%     0.12%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_single_phys
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_actor
     0.37%     0.02%  mariadbd         [kernel.kallsyms]    [k] obj_cgroup_charge
     0.36%     0.35%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.36%     0.01%  mariadbd         [kernel.kallsyms]    [k] skb_copy_datagram_iter
     0.36%     0.20%  swapper          [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.35%     0.35%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.35%     0.02%  mariadbd         [kernel.kallsyms]    [k] __skb_datagram_iter
     0.35%     0.26%  swapper          [kernel.kallsyms]    [k] __hrtimer_next_event_base
     0.35%     0.00%  mariadbd         [kernel.kallsyms]    [k] grab_cache_page_write_begin
     0.35%     0.07%  mariadbd         [kernel.kallsyms]    [k] check_preempt_curr
     0.34%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_task_fair
     0.34%     0.14%  mariadbd         [kernel.kallsyms]    [k] __es_insert_extent
     0.34%     0.34%  swapper          [kernel.kallsyms]    [k] native_sched_clock
     0.34%     0.20%  mariadbd         [kernel.kallsyms]    [k] mark_wake_futex
     0.33%     0.33%  swapper          [kernel.kallsyms]    [k] __switch_to_asm
     0.33%     0.03%  mariadbd         [kernel.kallsyms]    [k] gup_pud_range.constprop.0
     0.33%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.32%     0.09%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_wait_on_overflow
     0.32%     0.32%  swapper          [kernel.kallsyms]    [k] __update_load_avg_cfs_rq
     0.31%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] refill_obj_stock
     0.31%     0.31%  swapper          [kernel.kallsyms]    [k] llist_reverse_order
     0.31%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] kfree
     0.31%     0.04%  swapper          [kernel.kallsyms]    [k] clockevents_program_event
     0.31%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] skb_release_head_state
     0.31%     0.03%  swapper          [kernel.kallsyms]    [k] __hrtimer_start_range_ns
     0.30%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_destruct_scm
     0.30%     0.18%  mariadbd         [kernel.kallsyms]    [k] migrate_task_rq_fair
     0.30%     0.10%  mariadbd         [kernel.kallsyms]    [k] gup_pmd_range.constprop.0
     0.30%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] dequeue_entity
     0.29%     0.01%  mariadbd         [kernel.kallsyms]    [k] kmalloc_reserve
     0.29%     0.20%  mariadbd         [kernel.kallsyms]    [k] update_rq_clock_task
     0.29%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] select_task_rq_fair
     0.29%     0.05%  mariadbd         [kernel.kallsyms]    [k] select_idle_core
     0.29%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_fdatasync
     0.29%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_sync_file
     0.29%     0.29%  mariadbd         [kernel.kallsyms]    [k] __entry_text_start
     0.28%     0.20%  mariadbd         [kernel.kallsyms]    [k] __kmalloc_node_track_caller
     0.28%     0.04%  mariadbd         [kernel.kallsyms]    [k] sched_clock_cpu
