# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6600941935438
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.32%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.32%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.31%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.31%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.30%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_referenced
     0.29%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.29%     0.15%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.29%     0.00%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.28%     0.19%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.27%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __do_munmap
     0.27%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __vm_munmap
     0.27%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] __x64_sys_munmap
     0.27%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_region
     0.27%     0.02%  swapper          [kernel.kallsyms]                   [k] try_to_wake_up
     0.27%     0.01%  swapper          [kernel.kallsyms]                   [k] ttwu_do_activate
     0.25%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_referenced_one
     0.24%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_process
     0.24%     0.01%  swapper          [kernel.kallsyms]                   [k] enqueue_task
     0.23%     0.00%  swapper          [kernel.kallsyms]                   [k] hrtimer_wakeup
     0.23%     0.00%  swapper          [kernel.kallsyms]                   [k] __common_interrupt
     0.23%     0.00%  swapper          [kernel.kallsyms]                   [k] asm_common_interrupt
     0.23%     0.00%  swapper          [kernel.kallsyms]                   [k] common_interrupt
     0.22%     0.01%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.22%     0.00%  swapper          [kernel.kallsyms]                   [k] handle_edge_irq
