# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 129K of event 'cycles'
# Event count (approx.): 2520707030880
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.22%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.22%     0.08%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.22%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.22%     0.17%  kswapd0          [kernel.kallsyms]                   [k] isolate_pages
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_single_vma
     0.22%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_vmas
     0.21%     0.21%  Native-Transpor  [kernel.kallsyms]                   [k] xas_load
     0.21%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.21%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task
     0.21%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] lru_cache_add
     0.21%     0.01%  kswapd0          [kernel.kallsyms]                   [k] page_cache_delete
     0.21%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.21%     0.13%  NonPeriodicTask  [kernel.kallsyms]                   [k] unmap_page_range
     0.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.20%     0.05%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.20%     0.13%  kswapd1          [kernel.kallsyms]                   [k] isolate_pages
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __local_bh_enable_ip
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_softirq
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.19%     0.13%  NonPeriodicTask  [kernel.kallsyms]                   [k] xas_find
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_common_interrupt
     0.19%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.19%     0.19%  swapper          [kernel.kallsyms]                   [k] __switch_to_asm
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] common_interrupt
     0.19%     0.19%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.19%     0.02%  swapper          [kernel.kallsyms]                   [k] irq_exit_rcu
     0.19%     0.01%  NonPeriodicTask  [kernel.kallsyms]                   [k] __pagevec_release
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] net_rx_action
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __common_interrupt
     0.19%     0.01%  kswapd1          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.19%     0.18%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
