# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6777317610921
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.39%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] worker_thread
     0.39%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] process_one_work
     0.38%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] mark_page_accessed
     0.38%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_page_buffers
     0.38%     0.38%  LocalJobRunner   [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath
     0.38%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] try_to_wake_up
     0.38%     0.14%  LocalJobRunner   [kernel.kallsyms]         [k] kmem_cache_alloc
     0.38%     0.00%  VM Thread        [kernel.kallsyms]         [k] tlb_flush_mmu
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] wb_workfn
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] wb_writeback
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] do_writepages
     0.38%     0.00%  kworker/u97:7-w  [kernel.kallsyms]         [k] __writeback_single_inode
     0.38%     0.03%  kworker/u97:7-w  [kernel.kallsyms]         [k] ext4_writepages
     0.37%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] __ext4_journal_start_sb
     0.37%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] scheduler_tick
     0.36%     0.12%  java             [kernel.kallsyms]         [k] __mod_lruvec_page_state
     0.36%     0.01%  VM Thread        [kernel.kallsyms]         [k] schedule
     0.36%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.36%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_buffer_head
