# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.44%     0.02%  swapper          [kernel.kallsyms]         [k] tick_nohz_stop_tick
     0.43%     0.01%  swapper          [kernel.kallsyms]         [k] scheduler_tick
     0.43%     0.10%  swapper          [kernel.kallsyms]         [k] tick_nohz_next_event
     0.42%     0.23%  mariadbd         [kernel.kallsyms]         [k] migrate_task_rq_fair
     0.42%     0.42%  mariadbd         [kernel.kallsyms]         [k] amd_pmu_addr_offset
     0.42%     0.32%  mariadbd         [kernel.kallsyms]         [k] update_sg_lb_stats
     0.41%     0.03%  swapper          [kernel.kallsyms]         [k] blk_update_request
     0.41%     0.07%  mariadbd         [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.40%     0.02%  mariadbd         [kernel.kallsyms]         [k] swap_readpage
     0.40%     0.02%  tclsh8.6         [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.40%     0.03%  mariadbd         [kernel.kallsyms]         [k] get_page_from_freelist
     0.38%     0.38%  swapper          [kernel.kallsyms]         [k] get_typical_interval
     0.38%     0.03%  mariadbd         [kernel.kallsyms]         [k] update_blocked_averages
     0.38%     0.13%  mariadbd         [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.38%     0.12%  swapper          [kernel.kallsyms]         [k] set_next_entity
     0.38%     0.38%  mariadbd         libpthread-2.28.so        [.] __lll_lock_wait
     0.38%     0.38%  mariadbd         [kernel.kallsyms]         [k] __switch_to
     0.38%     0.37%  mariadbd         [kernel.kallsyms]         [k] llist_add_batch
     0.38%     0.01%  swapper          [kernel.kallsyms]         [k] perf_event_task_tick
     0.37%     0.30%  mariadbd         [kernel.kallsyms]         [k] __cond_resched
     0.37%     0.00%  mariadbd         [kernel.kallsyms]         [k] arch_tlbbatch_flush
     0.37%     0.05%  swapper          [kernel.kallsyms]         [k] perf_adjust_freq_unthr_context
     0.37%     0.00%  mariadbd         [kernel.kallsyms]         [k] try_to_unmap_flush_dirty
     0.36%     0.01%  mariadbd         [kernel.kallsyms]         [k] consume_skb
     0.36%     0.03%  mariadbd         [kernel.kallsyms]         [k] lockless_pages_from_mm
     0.35%     0.26%  mariadbd         [kernel.kallsyms]         [k] kfree
     0.35%     0.23%  mariadbd         [kernel.kallsyms]         [k] update_rq_clock_task
     0.35%     0.10%  mariadbd         [kernel.kallsyms]         [k] amd_pmu_wait_on_overflow
     0.35%     0.06%  mariadbd         [kernel.kallsyms]         [k] sched_clock_cpu
     0.35%     0.01%  mariadbd         [kernel.kallsyms]         [k] default_send_IPI_mask_sequence_phys
     0.35%     0.01%  mariadbd         [kernel.kallsyms]         [k] obj_cgroup_charge
     0.34%     0.27%  swapper          [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.34%     0.33%  mariadbd         [kernel.kallsyms]         [k] __list_del_entry_valid
     0.34%     0.13%  swapper          [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.33%     0.02%  swapper          [kernel.kallsyms]         [k] tick_nohz_restart_sched_tick
     0.33%     0.01%  mariadbd         [kernel.kallsyms]         [k] sysvec_call_function
     0.33%     0.01%  tclsh8.6         [kernel.kallsyms]         [k] obj_cgroup_charge
     0.33%     0.09%  mariadbd         [kernel.kallsyms]         [k] default_send_IPI_single_phys
     0.32%     0.06%  swapper          [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.32%     0.18%  mariadbd         [kernel.kallsyms]         [k] plist_add
     0.32%     0.01%  mariadbd         [kernel.kallsyms]         [k] ext4_es_insert_extent
     0.31%     0.10%  mariadbd         [kernel.kallsyms]         [k] gup_pgd_range
