# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 66K of event 'cycles'
# Event count (approx.): 2806436901836
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.19%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] exc_page_fault
     0.19%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] handle_mm_fault
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_page_function
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] simple_copy_to_iter
     0.19%     0.00%  ReadStage-51     [kernel.kallsyms]                   [k] __handle_mm_fault
     0.19%     0.03%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.19%     0.03%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.19%     0.00%  swapper          [kernel.kallsyms]                   [k] wake_up_state
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] skb_page_frag_refill
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sk_page_frag_refill
     0.19%     0.09%  swapper          [kernel.kallsyms]                   [k] tick_nohz_idle_exit
     0.18%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
