# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 716K of event 'cycles'
# Event count (approx.): 10058435022841
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] kthread
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.45%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] process_one_work
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_end_io_rsv_work
     0.44%     0.00%  java             [kernel.kallsyms]         [k] syscall_exit_to_user_mode
     0.44%     0.00%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_release_io_end
     0.44%     0.07%  kworker/u96:1-e  [kernel.kallsyms]         [k] ext4_finish_bio
     0.44%     0.02%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_block_write_begin
     0.43%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_timer
     0.42%     0.00%  java             [kernel.kallsyms]         [k] swapin_readahead
     0.41%     0.41%  InMemoryMerger   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     0.40%     0.03%  java             [kernel.kallsyms]         [k] update_process_times
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] worker_thread
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] kthread
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] ret_from_fork
     0.40%     0.08%  java             [kernel.kallsyms]         [k] update_curr
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] process_one_work
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] wb_workfn
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] wb_writeback
     0.40%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     0.40%     0.00%  java             [kernel.kallsyms]         [k] tick_sched_handle
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] __writeback_inodes_wb
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] __writeback_single_inode
     0.40%     0.00%  kworker/u98:0-w  [kernel.kallsyms]         [k] do_writepages
     0.40%     0.03%  kworker/u98:0-w  [kernel.kallsyms]         [k] ext4_writepages
     0.39%     0.03%  localfetcher#1   [kernel.kallsyms]         [k] lru_cache_add
     0.38%     0.00%  java             [kernel.kallsyms]         [k] __read_swap_cache_async
     0.38%     0.00%  java             [kernel.kallsyms]         [k] __alloc_pages_slowpath.constprop.0
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kcompactd
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]         [k] kthread
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]         [k] ret_from_fork
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]         [k] proactive_compact_node
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]         [k] compact_zone
     0.37%     0.01%  kswapd0          [kernel.kallsyms]         [k] rmap_walk
     0.37%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] __mark_inode_dirty
     0.37%     0.12%  pool-4-thread-1  [kernel.kallsyms]         [k] cgroup_rstat_updated
     0.36%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] shrink_lruvec
     0.36%     0.04%  java             [kernel.kallsyms]         [k] get_page_from_freelist
     0.36%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_dirty_inode
     0.35%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]         [k] kthread
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]         [k] ret_from_fork
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]         [k] worker_thread
     0.35%     0.00%  kworker/u97:1-e  [kernel.kallsyms]         [k] process_one_work
