# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 668K of event 'cycles'
# Event count (approx.): 8393561199059
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     0.43%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.43%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] mem_cgroup_wb_stats
     0.42%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] lru_cache_add
     0.42%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.42%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.42%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.42%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.42%     0.10%  kswapd1          [kernel.kallsyms]     [k] page_referenced_one
     0.41%     0.07%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.41%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit
     0.41%     0.00%  VM Thread        [kernel.kallsyms]     [k] __read_swap_cache_async
     0.41%     0.41%  localfetcher#1   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] task_work_run
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] task_numa_work
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] change_prot_numa
     0.40%     0.01%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.40%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
     0.40%     0.00%  VM Thread        [kernel.kallsyms]     [k] workingset_refault
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] irqentry_exit
     0.40%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.40%     0.04%  java             [kernel.kallsyms]     [k] pick_next_task_fair
     0.39%     0.03%  kswapd0          [kernel.kallsyms]     [k] rmap_walk_anon
     0.39%     0.00%  VM Thread        [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     0.39%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.39%     0.00%  VM Thread        [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.39%     0.06%  pool-4-thread-1  [kernel.kallsyms]     [k] migrate_pages
     0.39%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.39%     0.34%  kswapd0          [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.38%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_timer
     0.38%     0.03%  kswapd0          [kernel.kallsyms]     [k] __remove_mapping
     0.38%     0.04%  java             [kernel.kallsyms]     [k] get_page_from_freelist
