# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'cycles'
# Event count (approx.): 500598807923
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                           
# ........  ........  ...............  ...................  .................................................................................................................................................................................
#
     0.51%     0.08%  mariadbd         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.51%     0.08%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function
     0.50%     0.02%  mariadbd         [kernel.kallsyms]    [k] default_send_IPI_mask_sequence_phys
     0.50%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     0.49%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] consume_skb
     0.48%     0.48%  mariadbd         [kernel.kallsyms]    [k] cpuacct_charge
     0.47%     0.01%  swapper          [kernel.kallsyms]    [k] _nohz_idle_balance.constprop.0.isra.0
     0.47%     0.04%  swapper          [kernel.kallsyms]    [k] tick_nohz_restart_sched_tick
     0.47%     0.47%  mariadbd         libpthread-2.28.so   [.] __pthread_mutex_lock
     0.46%     0.10%  mariadbd         [kernel.kallsyms]    [k] wake_affine_weight
     0.46%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.45%     0.16%  mariadbd         [kernel.kallsyms]    [k] set_task_cpu
     0.45%     0.45%  mariadbd         [kernel.kallsyms]    [k] __update_load_avg_se
     0.44%     0.44%  swapper          [kernel.kallsyms]    [k] read_tsc
     0.43%     0.43%  mariadbd         [kernel.kallsyms]    [k] copy_user_generic_string
     0.43%     0.07%  tclsh8.6         [kernel.kallsyms]    [k] kmem_cache_alloc_node
     0.43%     0.10%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     0.42%     0.03%  mariadbd         [kernel.kallsyms]    [k] lockless_pages_from_mm
     0.41%     0.01%  mariadbd         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.41%     0.41%  mariadbd         [kernel.kallsyms]    [k] __switch_to
     0.40%     0.08%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     0.40%     0.40%  mariadbd         libpthread-2.28.so   [.] __lll_lock_wait
     0.40%     0.37%  swapper          [kernel.kallsyms]    [k] _raw_spin_lock
     0.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] sysvec_call_function
     0.39%     0.03%  swapper          [kernel.kallsyms]    [k] update_blocked_averages
     0.39%     0.05%  swapper          [kernel.kallsyms]    [k] rebalance_domains
     0.38%     0.38%  mariadbd         [kernel.kallsyms]    [k] llist_add_batch
     0.38%     0.05%  swapper          [kernel.kallsyms]    [k] clockevents_program_event
     0.38%     0.08%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_enter
     0.38%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_da_write_begin
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     0.38%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     0.37%     0.04%  swapper          [kernel.kallsyms]    [k] __hrtimer_start_range_ns
     0.37%     0.01%  swapper          [kernel.kallsyms]    [k] try_to_wake_up
     0.37%     0.37%  mariadbd         [kernel.kallsyms]    [k] update_cfs_rq_h_load
     0.37%     0.01%  mariadbd         [kernel.kallsyms]    [k] __getblk_gfp
     0.37%     0.09%  mariadbd         [kernel.kallsyms]    [k] gup_pgd_range
     0.36%     0.02%  swapper          [kernel.kallsyms]    [k] quiet_vmstat
     0.36%     0.00%  mariadbd         [kernel.kallsyms]    [k] __ext4_mark_inode_dirty
     0.36%     0.01%  mariadbd         [kernel.kallsyms]    [k] __find_get_block
     0.36%     0.21%  swapper          [kernel.kallsyms]    [k] x86_pmu_disable_all
     0.35%     0.03%  swapper          [kernel.kallsyms]    [k] hrtimer_next_event_without
     0.35%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.35%     0.04%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_wakeup
     0.35%     0.09%  mariadbd         [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.35%     0.02%  swapper          [kernel.kallsyms]    [k] sched_clock_cpu
     0.35%     0.09%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_wait_on_overflow
     0.34%     0.10%  swapper          [kernel.kallsyms]    [k] need_update
     0.34%     0.05%  swapper          [kernel.kallsyms]    [k] load_balance
     0.34%     0.01%  mariadbd         [kernel.kallsyms]    [k] obj_cgroup_charge
     0.33%     0.33%  mariadbd         [kernel.kallsyms]    [k] __switch_to_asm
     0.33%     0.27%  swapper          [kernel.kallsyms]    [k] __hrtimer_next_event_base
     0.33%     0.22%  mariadbd         [kernel.kallsyms]    [k] update_rq_clock_task
     0.33%     0.01%  mariadbd         [kernel.kallsyms]    [k] __lock_page_or_retry
     0.32%     0.02%  mariadbd         [kernel.kallsyms]    [k] wait_on_page_bit_common
     0.32%     0.01%  mariadbd         [kernel.kallsyms]    [k] touch_atime
