# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 1614699159179
#
# Children      Self  Command          Shared Object        Symbol                                           
# ........  ........  ...............  ...................  .................................................
#
     0.14%     0.14%  postgres         [kernel.kallsyms]    [k] __d_lookup_rcu
     0.14%     0.14%  kcompactd1       [kernel.kallsyms]    [k] page_vma_mapped_walk
     0.13%     0.00%  postgres         [kernel.kallsyms]    [k] walk_component
     0.13%     0.13%  postgres         [unknown]            [.] 0000000000000000
     0.13%     0.01%  postgres         [kernel.kallsyms]    [k] irq_exit_rcu
     0.13%     0.07%  postgres         [kernel.kallsyms]    [k] update_load_avg
     0.13%     0.01%  postgres         [kernel.kallsyms]    [k] dequeue_task_fair
     0.13%     0.00%  postgres         [kernel.kallsyms]    [k] __softirqentry_text_start
     0.13%     0.01%  postgres         [kernel.kallsyms]    [k] get_futex_key
     0.13%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     0.13%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] mpage_submit_page
     0.12%     0.01%  postgres         [kernel.kallsyms]    [k] pollwake
     0.12%     0.00%  postgres         [kernel.kallsyms]    [k] default_wake_function
     0.12%     0.00%  postgres         [kernel.kallsyms]    [k] get_user_pages_fast
     0.11%     0.05%  postgres         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     0.11%     0.00%  postgres         [kernel.kallsyms]    [k] irqentry_exit
     0.11%     0.00%  postgres         [kernel.kallsyms]    [k] irqentry_exit_to_user_mode
     0.11%     0.01%  postgres         [kernel.kallsyms]    [k] dequeue_entity
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] migrate_pages
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] migrate_misplaced_page
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common
     0.11%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] ext4_bio_write_page
     0.11%     0.00%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     0.11%     0.01%  postgres         [kernel.kallsyms]    [k] ext4_block_write_begin
     0.11%     0.00%  postgres         [kernel.kallsyms]    [k] run_rebalance_domains
     0.11%     0.01%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_queue
     0.10%     0.06%  postgres         [kernel.kallsyms]    [k] __mod_lruvec_page_state
     0.10%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     0.10%     0.07%  postgres         [kernel.kallsyms]    [k] update_blocked_averages
     0.10%     0.00%  kcompactd1       [kernel.kallsyms]    [k] remove_migration_pte
     0.10%     0.01%  postgres         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     0.10%     0.00%  postgres         [kernel.kallsyms]    [k] task_numa_work
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait_setup
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_common_lock
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up_sync_key
     0.10%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] sock_def_readable
     0.10%     0.03%  postgres         [kernel.kallsyms]    [k] enqueue_entity
     0.10%     0.10%  postgres         [kernel.kallsyms]    [k] ext4_es_lookup_extent
     0.10%     0.00%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     0.09%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_epoll_wait
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] ep_poll_callback
     0.09%     0.02%  postgres         [kernel.kallsyms]    [k] lru_add_drain
     0.09%     0.09%  postgres         [kernel.kallsyms]    [k] psi_group_change
     0.09%     0.01%  postgres         [kernel.kallsyms]    [k] newidle_balance
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __wake_up
     0.09%     0.00%  postgres         [kernel.kallsyms]    [k] change_prot_numa
     0.09%     0.00%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     0.09%     0.00%  postgres         [kernel.kallsyms]    [k] migrate_misplaced_page
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] autoremove_wake_function
     0.09%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] default_wake_function
     0.09%     0.00%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     0.09%     0.00%  postgres         [kernel.kallsyms]    [k] __x64_sys_fdatasync
     0.09%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_sync_file
     0.09%     0.01%  swapper          [kernel.kallsyms]    [k] enqueue_task
     0.09%     0.01%  postgres         [kernel.kallsyms]    [k] vfs_getattr_nosec
     0.09%     0.09%  postgres         [kernel.kallsyms]    [k] clear_page_erms
     0.09%     0.03%  postgres         [kernel.kallsyms]    [k] futex_wait_setup
     0.08%     0.00%  kcompactd1       [kernel.kallsyms]    [k] try_to_migrate
     0.08%     0.00%  kcompactd1       [kernel.kallsyms]    [k] try_to_migrate_one
     0.08%     0.02%  kcompactd1       [kernel.kallsyms]    [k] split_map_pages
     0.08%     0.00%  kcompactd1       [kernel.kallsyms]    [k] compaction_alloc
     0.08%     0.07%  postgres         [kernel.kallsyms]    [k] change_protection
     0.08%     0.01%  postgres         [kernel.kallsyms]    [k] ext4_da_get_block_prep
     0.08%     0.02%  postgres         [kernel.kallsyms]    [k] do_epoll_wait
     0.08%     0.02%  postgres         [kernel.kallsyms]    [k] ext4_find_extent
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] psi_task_switch
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] rmap_walk
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] rmap_walk_anon
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] migrate_pages
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] file_write_and_wait_range
     0.08%     0.04%  postgres         [kernel.kallsyms]    [k] psi_task_change
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] __mark_inode_dirty
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] ext4_dirty_inode
     0.08%     0.03%  postgres         [kernel.kallsyms]    [k] ext4_file_getattr
     0.08%     0.00%  swapper          [kernel.kallsyms]    [k] cpuidle_select
     0.08%     0.06%  postgres         [kernel.kallsyms]    [k] uncharge_page
     0.08%     0.00%  postgres         [kernel.kallsyms]    [k] __mem_cgroup_uncharge_list
     0.08%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] __submit_bio
     0.08%     0.00%  kworker/u97:0-e  [kernel.kallsyms]    [k] blk_mq_submit_bio
