# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.59%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __run_hrtimer
     0.59%     0.00%  G1 Conc#5        [kernel.kallsyms]                          [k] __run_hrtimer
     0.59%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] tick_sched_timer
     0.59%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] __run_hrtimer
     0.59%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     0.58%     0.01%  G1 Conc#4        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.58%     0.01%  GC Thread#4      [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.58%     0.06%  Executor task l  [kernel.kallsyms]                          [k] __add_to_page_cache_locked
     0.58%     0.01%  GC Thread#19     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#11     [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.58%     0.01%  G1 Conc#2        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.58%     0.01%  G1 Conc#1        [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.58%     0.02%  GC Thread#16     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.58%     0.00%  GC Thread#7      [kernel.kallsyms]                          [k] __run_hrtimer
     0.58%     0.00%  kswapd0          [kernel.kallsyms]                          [k] lru_gen_shrink_lruvec
     0.58%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] tick_sched_timer
     0.57%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] tick_sched_timer
     0.57%     0.02%  Executor task l  [kernel.kallsyms]                          [k] open_last_lookups
     0.57%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] tick_sched_timer
     0.57%     0.01%  GC Thread#20     [kernel.kallsyms]                          [k] __hrtimer_run_queues
     0.57%     0.00%  G1 Refine#5      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     0.57%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] __run_hrtimer
     0.57%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] __run_hrtimer
     0.57%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] __run_hrtimer
     0.57%     0.00%  kswapd0          [kernel.kallsyms]                          [k] evict_pages
     0.57%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] __run_hrtimer
     0.57%     0.00%  G1 Refine#2      [kernel.kallsyms]                          [k] tick_sched_handle
     0.57%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] tick_sched_timer
