# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.01%     0.01%  G1 Refine#16     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.01%     0.01%  G1 Refine#18     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.01%     0.01%  GC Thread#14     [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  G1 Refine#17     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.01%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.01%  G1 Refine#6      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] __x64_sys_futex
     0.01%     0.01%  G1 Refine#21     [kernel.kallsyms]                          [k] update_curr
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] rcu_segcblist_pend_cbs
     0.01%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] rcu_core
     0.01%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] timerqueue_del
     0.01%     0.01%  GC Thread#8      [kernel.kallsyms]                          [k] rcu_pending
     0.01%     0.01%  G1 Conc#4        [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] cpus_share_cache
     0.01%     0.00%  swapper          [kernel.kallsyms]                          [k] hrtimer_wakeup
     0.01%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  GC Thread#21     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.01%     0.01%  GC Thread#8      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.01%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] rcu_pending
     0.01%     0.01%  GC Thread#11     [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] futex_wait_queue_me
     0.01%     0.01%  G1 Refine#9      [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] load_balance
     0.01%     0.01%  G1 Refine#20     [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     0.01%     0.01%  G1 Conc#4        [kernel.kallsyms]                          [k] __irqentry_text_end
     0.01%     0.01%  G1 Refine#7      [kernel.kallsyms]                          [k] __update_load_avg_se
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] expand_files
     0.01%     0.01%  GC Thread#12     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.01%  GC Thread#9      [kernel.kallsyms]                          [k] update_cfs_group
     0.01%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] futex_wait
     0.01%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] load_balance
     0.01%     0.00%  G1 Refine#12     [kernel.kallsyms]                          [k] do_futex
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] vma_merge
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] ima_file_free
     0.01%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] rcu_report_qs_rdp
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] set_current_blocked
     0.01%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.01%     0.01%  G1 Refine#8      [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.01%  GC Thread#20     [kernel.kallsyms]                          [k] update_irq_load_avg
     0.01%     0.00%  Spark Context C  [kernel.kallsyms]                          [k] do_futex
     0.01%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] handle_mm_fault
     0.01%     0.00%  irqbalance       [kernel.kallsyms]                          [k] ksys_read
     0.01%     0.00%  G1 Refine#6      [kernel.kallsyms]                          [k] wake_up_q
     0.01%     0.01%  G1 Refine#6      [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.01%  G1 Conc#5        [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.01%     0.01%  G1 Refine#0      [kernel.kallsyms]                          [k] _raw_spin_lock_irqsave
     0.01%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] __schedule
     0.01%     0.00%  C2 CompilerThre  [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] can_migrate_task
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] futex_wait_setup
     0.01%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] __const_udelay
     0.01%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] enqueue_hrtimer
     0.01%     0.00%  G1 Refine#11     [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     0.01%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
     0.01%     0.00%  G1 Refine#1      [kernel.kallsyms]                          [k] wake_up_q
     0.01%     0.01%  G1 Refine#13     [kernel.kallsyms]                          [k] __update_load_avg_se
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] blkcg_maybe_throttle_current
     0.01%     0.01%  GC Thread#1      [kernel.kallsyms]                          [k] __update_load_avg_se
     0.01%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] try_to_wake_up
     0.01%     0.01%  GC Thread#9      [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.01%  GC Thread#6      [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  G1 Conc#1        [kernel.kallsyms]                          [k] pick_next_task_fair
     0.01%     0.00%  Executor task l  [kernel.kallsyms]                          [k] perf_event_mmap
     0.01%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] do_syscall_64
     0.01%     0.01%  G1 Refine#12     [kernel.kallsyms]                          [k] ktime_get
     0.01%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] arch_scale_freq_tick
     0.01%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] get_page_from_freelist
     0.01%     0.00%  irqbalance       [kernel.kallsyms]                          [k] new_sync_read
     0.01%     0.00%  irqbalance       [kernel.kallsyms]                          [k] vfs_read
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] policy_node
     0.01%     0.00%  G1 Refine#15     [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
     0.01%     0.01%  G1 Refine#6      [kernel.kallsyms]                          [k] update_rq_clock_task
     0.01%     0.00%  G1 Refine#15     [kernel.kallsyms]                          [k] rcu_core
     0.01%     0.01%  GC Thread#1      [kernel.kallsyms]                          [k] hrtimer_active
     0.01%     0.01%  GC Thread#11     [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     0.01%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] __handle_mm_fault
     0.01%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] do_anonymous_page
     0.01%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] irqentry_exit_to_user_mode
     0.01%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] enqueue_hrtimer
     0.01%     0.00%  G1 Refine#10     [kernel.kallsyms]                          [k] __schedule
     0.01%     0.00%  GC Thread#8      [kernel.kallsyms]                          [k] get_page_from_freelist
     0.01%     0.01%  Executor task l  libpthread-2.28.so                         [.] __open64
     0.01%     0.01%  G1 Refine#0      [kernel.kallsyms]                          [k] irq_work_tick
     0.01%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] pick_next_task_fair
     0.01%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     0.01%     0.01%  G1 Conc#2        [kernel.kallsyms]                          [k] check_cpu_stall
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] note_interrupt
     0.01%     0.01%  G1 Conc#0        [kernel.kallsyms]                          [k] irqtime_account_irq
     0.01%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] try_to_wake_up
     0.01%     0.01%  Executor task l  libc-2.28.so                               [.] _int_free
     0.01%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] error_entry
     0.01%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] exit_to_user_mode_loop
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] can_migrate_task.part.0
     0.01%     0.00%  G1 Conc#2        [kernel.kallsyms]                          [k] exit_to_user_mode_loop
     0.01%     0.01%  G1 Refine#1      [kernel.kallsyms]                          [k] x86_pmu_disable
     0.01%     0.01%  G1 Refine#6      [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     0.01%     0.00%  irqbalance       [kernel.kallsyms]                          [k] seq_read_iter
     0.01%     0.00%  irqbalance       [kernel.kallsyms]                          [k] proc_reg_read_iter
     0.01%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  GC Thread#12     [kernel.kallsyms]                          [k] alloc_pages_vma
     0.01%     0.01%  Executor task l  ld-2.28.so                                 [.] __tls_get_addr
     0.01%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] __softirqentry_text_start
     0.01%     0.01%  kswapd0          [kernel.kallsyms]                          [k] page_check_dirty_writeback
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] __handle_mm_fault
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] do_anonymous_page
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] handle_mm_fault
     0.01%     0.01%  G1 Refine#11     [kernel.kallsyms]                          [k] __update_load_avg_se
     0.01%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] get_page_from_freelist
     0.01%     0.00%  G1 Refine#15     [kernel.kallsyms]                          [k] do_syscall_64
     0.01%     0.00%  kswapd0          [kernel.kallsyms]                          [k] hrtimer_interrupt
     0.01%     0.00%  kswapd0          [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
     0.01%     0.00%  G1 Refine#3      [kernel.kallsyms]                          [k] pick_next_task_fair
     0.01%     0.01%  Executor task l  [kernel.kallsyms]                          [k] mem_cgroup_from_obj
     0.01%     0.00%  rhsmcertd-worke  [kernel.kallsyms]                          [k] tick_sched_handle
     0.01%     0.01%  GC Thread#16     [kernel.kallsyms]                          [k] update_irq_load_avg
     0.01%     0.00%  GC Thread#20     [kernel.kallsyms]                          [k] clockevents_program_event
     0.01%     0.01%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954eed0
     0.01%     0.01%  G1 Refine#21     [kernel.kallsyms]                          [k] x86_pmu_disable_all
     0.01%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] __alloc_pages
     0.01%     0.00%  GC Thread#9      [kernel.kallsyms]                          [k] alloc_pages_vma
