# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 191K of event 'cycles'
# Event count (approx.): 17297680199363
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     0.16%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.16%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] flush_tlb_mm_range
     0.16%     0.16%  kworker/u97:1+f  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.16%     0.00%  kworker/u97:1+f  [kernel.kallsyms]                   [k] percpu_counter_add_batch
     0.16%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.16%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.16%     0.00%  NonPeriodicTask  [kernel.kallsyms]                   [k] flush_tlb_batched_pending
     0.16%     0.00%  ReadStage-141    [kernel.kallsyms]                   [k] asm_exc_page_fault
