# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 9401408291994
#
# Children      Self  Command          Shared Object              Symbol                                             
# ........  ........  ...............  .........................  ...................................................
#
     0.45%     0.00%  kworker/u96:1-e  [kernel.kallsyms]          [k] ext4_release_io_end
     0.45%     0.13%  kworker/u96:1-e  [kernel.kallsyms]          [k] ext4_finish_bio
     0.43%     0.01%  Sampler Reader   [kernel.kallsyms]          [k] handle_mm_fault
     0.43%     0.05%  java             [kernel.kallsyms]          [k] lru_cache_add
     0.43%     0.43%  LocalJobRunner   [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     0.42%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] scheduler_tick
     0.42%     0.10%  java             [kernel.kallsyms]          [k] _raw_spin_lock_irq
     0.42%     0.01%  java             [kernel.kallsyms]          [k] asm_sysvec_call_function
     0.42%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] lru_cache_add_inactive_or_unevictable
     0.42%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] __ext4_journal_start_sb
     0.42%     0.10%  VM Thread        [kernel.kallsyms]          [k] __handle_mm_fault
     0.41%     0.41%  LocalJobRunner   [kernel.kallsyms]          [k] copy_page
     0.41%     0.06%  java             [kernel.kallsyms]          [k] ptep_clear_flush
     0.41%     0.03%  Sampler Reader   [kernel.kallsyms]          [k] __handle_mm_fault
     0.40%     0.12%  java             [kernel.kallsyms]          [k] __mod_lruvec_page_state
     0.40%     0.04%  LocalJobRunner   [kernel.kallsyms]          [k] create_empty_buffers
     0.40%     0.18%  java             [kernel.kallsyms]          [k] charge_memcg
     0.39%     0.14%  LocalJobRunner   [kernel.kallsyms]          [k] balance_dirty_pages_ratelimited
     0.39%     0.24%  java             [kernel.kallsyms]          [k] mpol_misplaced
     0.39%     0.12%  LocalJobRunner   [kernel.kallsyms]          [k] __mod_lruvec_page_state
     0.39%     0.06%  LocalJobRunner   [kernel.kallsyms]          [k] __block_commit_write.constprop.0.isra.0
     0.39%     0.28%  java             [kernel.kallsyms]          [k] error_entry
     0.39%     0.05%  LocalJobRunner   [kernel.kallsyms]          [k] cgroup_rstat_flush_locked
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] do_syscall_64
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] entry_SYSCALL_64_after_hwframe
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] __x64_sys_write
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] ksys_write
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] vfs_write
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] ext4_file_write_iter
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] new_sync_write
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] ext4_buffered_write_iter
     0.38%     0.36%  LocalJobRunner   [kernel.kallsyms]          [k] copy_page_to_iter
     0.38%     0.00%  InMemoryMerger   [kernel.kallsyms]          [k] generic_perform_write
     0.37%     0.14%  java             [kernel.kallsyms]          [k] __pagevec_lru_add
     0.37%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] jbd2__journal_start
     0.37%     0.01%  java             [kernel.kallsyms]          [k] __mod_lruvec_state
     0.37%     0.15%  LocalJobRunner   [kernel.kallsyms]          [k] kmem_cache_alloc
     0.37%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] kthread
     0.37%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] ret_from_fork
     0.37%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] worker_thread
     0.37%     0.36%  LocalJobRunner   [kernel.kallsyms]          [k] __get_user_nocheck_1
     0.36%     0.15%  LocalJobRunner   [kernel.kallsyms]          [k] ext4_mark_iloc_dirty
     0.36%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] alloc_page_buffers
     0.36%     0.11%  localfetcher#1   [kernel.kallsyms]          [k] charge_memcg
     0.36%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] process_one_work
     0.36%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] ext4_end_io_rsv_work
     0.36%     0.32%  LocalJobRunner   [kernel.kallsyms]          [k] get_mem_cgroup_from_mm
     0.36%     0.30%  LocalJobRunner   [kernel.kallsyms]          [k] rmqueue_bulk
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] kthread
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] ret_from_fork
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] worker_thread
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] process_one_work
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] wb_workfn
     0.35%     0.00%  kworker/u96:0-e  [kernel.kallsyms]          [k] ext4_release_io_end
     0.35%     0.01%  java             [kernel.kallsyms]          [k] flush_tlb_mm_range
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] wb_writeback
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] writeback_sb_inodes
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] __writeback_inodes_wb
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] __writeback_single_inode
     0.35%     0.00%  kworker/u98:0-e  [kernel.kallsyms]          [k] do_writepages
     0.35%     0.03%  java             [kernel.kallsyms]          [k] task_tick_fair
     0.35%     0.09%  kworker/u96:0-e  [kernel.kallsyms]          [k] ext4_finish_bio
     0.35%     0.03%  kworker/u98:0-e  [kernel.kallsyms]          [k] ext4_writepages
     0.35%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] alloc_buffer_head
     0.34%     0.33%  LocalJobRunner   [kernel.kallsyms]          [k] __ptep_modify_prot_start
     0.34%     0.01%  java             [kernel.kallsyms]          [k] native_flush_tlb_multi
     0.34%     0.27%  LocalJobRunner   [kernel.kallsyms]          [k] _raw_spin_lock
     0.34%     0.23%  LocalJobRunner   [kernel.kallsyms]          [k] try_charge_memcg
     0.33%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] page_cache_async_ra
     0.33%     0.00%  java             [kernel.kallsyms]          [k] generic_smp_call_function_single_interrupt
     0.33%     0.32%  java             [kernel.kallsyms]          [k] mem_cgroup_from_task
     0.33%     0.00%  java             [kernel.kallsyms]          [k] sysvec_call_function
     0.33%     0.00%  java             [kernel.kallsyms]          [k] on_each_cpu_cond_mask
     0.32%     0.03%  LocalJobRunner   [kernel.kallsyms]          [k] mark_buffer_dirty
     0.32%     0.32%  LocalJobRunner   [kernel.kallsyms]          [k] mem_cgroup_css_rstat_flush
     0.32%     0.02%  LocalJobRunner   [kernel.kallsyms]          [k] __mod_lruvec_state
     0.32%     0.00%  LocalJobRunner   [kernel.kallsyms]          [k] ttwu_do_activate
