# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 9051642699758
#
# Children      Self  Command          Shared Object                      Symbol                                        
# ........  ........  ...............  .................................  ..............................................
#
     0.21%     0.01%  kswapd1          [kernel.kallsyms]                  [k] page_cache_delete
     0.21%     0.00%  swapper          [kernel.kallsyms]                  [k] handle_edge_irq
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ksys_read
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __x64_sys_read
     0.21%     0.04%  swapper          [kernel.kallsyms]                  [k] psi_task_switch
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] vfs_read
     0.21%     0.01%  swapper          [kernel.kallsyms]                  [k] handle_irq_event
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] new_sync_read
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] sock_read_iter
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] sock_recvmsg
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __x64_sys_prctl
     0.20%     0.01%  swapper          [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.20%     0.03%  kswapd0          [kernel.kallsyms]                  [k] page_referenced_one
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] tcp_recvmsg
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] inet6_recvmsg
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                  [k] __tcp_transmit_skb
     0.19%     0.00%  swapper          [kernel.kallsyms]                  [k] nvme_irq
     0.19%     0.01%  swapper          [kernel.kallsyms]                  [k] nvme_process_cq
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __do_sys_prctl
     0.19%     0.12%  swapper          [kernel.kallsyms]                  [k] switch_mm_irqs_off
     0.19%     0.02%  kswapd0          [kernel.kallsyms]                  [k] __remove_mapping
     0.19%     0.01%  kswapd1          [kernel.kallsyms]                  [k] xas_store
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __ip_queue_xmit
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_queue_xmit
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] tcp_recvmsg_locked
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_local_out
     0.18%     0.00%  kswapd0          [kernel.kallsyms]                  [k] try_to_unmap
     0.18%     0.06%  Native-Transpor  [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.18%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_output
     0.17%     0.01%  swapper          [kernel.kallsyms]                  [k] nvme_pci_complete_rq
     0.17%     0.17%  kswapd1          [kernel.kallsyms]                  [k] xas_create
     0.17%     0.16%  kswapd0          [kernel.kallsyms]                  [k] page_vma_mapped_walk
     0.17%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __ip_finish_output
     0.17%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_finish_output
     0.17%     0.03%  kswapd1          [kernel.kallsyms]                  [k] free_unref_page_list
     0.17%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] do_user_addr_fault
     0.17%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] exc_page_fault
     0.17%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                  [k] psi_task_change
     0.17%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] exit_to_user_mode_prepare
     0.17%     0.00%  PerDiskMemtable  [kernel.kallsyms]                  [k] handle_mm_fault
     0.17%     0.01%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_finish_output2
     0.16%     0.16%  PerDiskMemtable  [kernel.kallsyms]                  [k] __handle_mm_fault
     0.16%     0.01%  kswapd1          [kernel.kallsyms]                  [k] shrink_active_list
     0.16%     0.06%  Native-Transpor  [kernel.kallsyms]                  [k] update_load_avg
     0.16%     0.15%  kswapd0          [kernel.kallsyms]                  [k] smp_call_function_many_cond
     0.16%     0.02%  swapper          [kernel.kallsyms]                  [k] flush_smp_call_function_from_idle
     0.16%     0.08%  swapper          [kernel.kallsyms]                  [k] set_next_entity
     0.16%     0.10%  Native-Transpor  [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.16%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] __set_task_comm
     0.16%     0.02%  swapper          [kernel.kallsyms]                  [k] flush_smp_call_function_queue
     0.16%     0.15%  swapper          [kernel.kallsyms]                  [k] psi_group_change
     0.15%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] syscall_exit_to_user_mode
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] compact_zone
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] kcompactd
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] kthread
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] migrate_pages
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] proactive_compact_node
     0.15%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] ret_from_fork
     0.15%     0.01%  NonPeriodicTask  [kernel.kallsyms]                  [k] lock_page_lruvec_irqsave
     0.14%     0.02%  cluster1-nio-wo  [kernel.kallsyms]                  [k] enqueue_task_fair
     0.14%     0.05%  NonPeriodicTask  [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.14%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] perf_event_comm
     0.14%     0.06%  kswapd0          [kernel.kallsyms]                  [k] try_to_unmap_one
     0.14%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] switch_fpu_return
     0.14%     0.00%  kswapd0          [kernel.kallsyms]                  [k] __delete_from_page_cache
     0.14%     0.14%  kswapd0          [kernel.kallsyms]                  [k] isolate_lru_pages
     0.14%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] do_softirq
     0.14%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __local_bh_enable_ip
     0.14%     0.13%  cluster1-nio-wo  [kernel.kallsyms]                  [k] psi_group_change
     0.14%     0.00%  swapper          [kernel.kallsyms]                  [k] nvme_complete_rq
     0.13%     0.03%  Native-Transpor  [kernel.kallsyms]                  [k] perf_iterate_sb
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __softirqentry_text_start
     0.13%     0.00%  swapper          [kernel.kallsyms]                  [k] blk_mq_end_request
     0.13%     0.07%  swapper          [kernel.kallsyms]                  [k] update_load_avg
     0.13%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] ttwu_do_activate
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] process_backlog
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __napi_poll
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] net_rx_action
     0.13%     0.00%  kswapd1          [kernel.kallsyms]                  [k] free_unref_page_commit.constprop.0
     0.13%     0.01%  kswapd1          [kernel.kallsyms]                  [k] __mod_lruvec_state
     0.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] do_writev
     0.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __x64_sys_writev
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __netif_receive_skb
     0.12%     0.05%  kswapd1          [kernel.kallsyms]                  [k] free_pcppages_bulk
     0.12%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __netif_receive_skb_one_core
     0.12%     0.12%  Native-Transpor  [kernel.kallsyms]                  [k] __restore_fpregs_from_fpstate
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] vfs_writev
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] compact_zone
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] kcompactd
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] kthread
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] migrate_pages
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] proactive_compact_node
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]                  [k] ret_from_fork
     0.12%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_finish_plug
     0.12%     0.11%  NonPeriodicTask  [kernel.kallsyms]                  [k] xas_find
     0.12%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_flush_plug_list
     0.12%     0.03%  cluster1-nio-wo  [kernel.kallsyms]                  [k] enqueue_entity
     0.12%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_flush_plug_list
     0.12%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] enqueue_task
     0.12%     0.01%  kswapd0          [kernel.kallsyms]                  [k] page_cache_delete
     0.12%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] lru_cache_add
     0.12%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ext4_da_write_begin
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] inet6_sendmsg
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] do_iter_readv_writev
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] do_iter_write
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] sock_sendmsg
     0.12%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] sock_write_iter
     0.12%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] skb_page_frag_refill
     0.12%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] sk_page_frag_refill
     0.12%     0.09%  Native-Transpor  [kernel.kallsyms]                  [k] flush_tlb_func
     0.12%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_try_issue_list_directly
     0.12%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __tcp_transmit_skb
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] tcp_sendmsg
     0.11%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] hrtimer_sleeper_start_expires
     0.11%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] blk_mq_sched_insert_requests
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_rcv
     0.11%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] hrtimer_start_range_ns
     0.11%     0.02%  swapper          [kernel.kallsyms]                  [k] sched_ttwu_pending
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] alloc_pages
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] tcp_sendmsg_locked
     0.11%     0.01%  swapper          [kernel.kallsyms]                  [k] blk_update_request
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] __alloc_pages
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __skb_datagram_iter
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] skb_copy_datagram_iter
     0.11%     0.01%  kswapd0          [kernel.kallsyms]                  [k] shrink_active_list
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_local_deliver
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_local_deliver_finish
     0.11%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] simple_copy_to_iter
     0.11%     0.01%  epollEventLoopG  [kernel.kallsyms]                  [k] get_page_from_freelist
     0.11%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] exc_page_fault
     0.11%     0.00%  epollEventLoopG  [kernel.kallsyms]                  [k] ip_protocol_deliver_rcu
     0.11%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] do_user_addr_fault
     0.11%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __blk_mq_try_issue_directly
     0.11%     0.00%  Native-Transpor  [kernel.kallsyms]                  [k] __mod_lruvec_state
     0.11%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] add_to_page_cache_lru
     0.11%     0.01%  swapper          [kernel.kallsyms]                  [k] irq_exit_rcu
     0.11%     0.02%  kswapd1          [kernel.kallsyms]                  [k] __mod_lruvec_page_state
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] __ip_queue_xmit
     0.11%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ip_queue_xmit
     0.10%     0.02%  Native-Transpor  [kernel.kallsyms]                  [k] nvme_queue_rq
     0.10%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] handle_mm_fault
     0.10%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] ext4_da_write_end
     0.10%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ip_local_out
     0.10%     0.10%  Native-Transpor  [kernel.kallsyms]                  [k] xas_load
     0.10%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] rmap_walk
     0.10%     0.01%  Native-Transpor  [kernel.kallsyms]                  [k] perf_event_comm_output
     0.10%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] generic_write_end
     0.10%     0.03%  Native-Transpor  [kernel.kallsyms]                  [k] cgroup_rstat_updated
     0.10%     0.04%  Native-Transpor  [kernel.kallsyms]                  [k] update_curr
     0.10%     0.10%  cluster1-nio-wo  [kernel.kallsyms]                  [k] copy_user_enhanced_fast_string
     0.10%     0.04%  swapper          [kernel.kallsyms]                  [k] tick_nohz_idle_exit
     0.10%     0.01%  epollEventLoopG  [kernel.kallsyms]                  [k] tcp_v4_rcv
     0.10%     0.10%  swapper          [kernel.kallsyms]                  [k] __switch_to_asm
     0.10%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ip_output
     0.10%     0.09%  Native-Transpor  [kernel.kallsyms]                  [k] next_uptodate_page
     0.10%     0.03%  kswapd1          [kernel.kallsyms]                  [k] __mod_memcg_lruvec_state
     0.10%     0.00%  CompactionExecu  [kernel.kallsyms]                  [k] __handle_mm_fault
     0.10%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] try_to_migrate
     0.10%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] try_to_migrate_one
     0.10%     0.03%  Native-Transpor  [kernel.kallsyms]                  [k] __pagevec_lru_add
     0.10%     0.00%  swapper          [kernel.kallsyms]                  [k] bio_endio
     0.10%     0.09%  epollEventLoopG  [kernel.kallsyms]                  [k] clear_page_erms
     0.09%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                  [k] ip_finish_output
