# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles'
# Event count (approx.): 5321267836559
#
# Children      Self  Command          Shared Object                       Symbol                                        
# ........  ........  ...............  ..................................  ..............................................
#
     0.21%     0.00%  swapper          [kernel.kallsyms]                   [k] mpage_end_io
     0.21%     0.02%  NonPeriodicTask  [kernel.kallsyms]                   [k] lock_page_lruvec_irqsave
     0.21%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.21%     0.06%  Native-Transpor  [kernel.kallsyms]                   [k] __mod_lruvec_page_state
     0.21%     0.07%  Native-Transpor  [kernel.kallsyms]                   [k] cgroup_rstat_updated
     0.21%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_output
     0.20%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] wait_on_page_bit_common
     0.20%     0.19%  kswapd0          [kernel.kallsyms]                   [k] page_vma_mapped_walk
     0.20%     0.04%  swapper          [kernel.kallsyms]                   [k] __read_end_io
     0.20%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output
     0.20%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] submit_bio
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] nvme_pci_complete_rq
     0.20%     0.09%  Native-Transpor  [kernel.kallsyms]                   [k] __pagevec_lru_add
     0.20%     0.12%  Native-Transpor  [kernel.kallsyms]                   [k] flush_tlb_func
     0.20%     0.06%  NonPeriodicTask  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     0.19%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __tcp_transmit_skb
     0.19%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __ip_finish_output
     0.19%     0.08%  kswapd0          [kernel.kallsyms]                   [k] try_to_unmap_one
     0.19%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] ip_finish_output2
     0.19%     0.08%  swapper          [kernel.kallsyms]                   [k] tick_nohz_idle_exit
     0.19%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_sleeper_start_expires
     0.19%     0.10%  kswapd1          [kernel.kallsyms]                   [k] move_pages_to_lru
     0.19%     0.02%  kswapd1          [kernel.kallsyms]                   [k] free_unref_page_list
     0.18%     0.18%  epollEventLoopG  [kernel.kallsyms]                   [k] clear_page_erms
     0.18%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] hrtimer_start_range_ns
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __ip_queue_xmit
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_queue_xmit
     0.18%     0.17%  swapper          [kernel.kallsyms]                   [k] __switch_to_asm
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_local_out
     0.18%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] enqueue_task_fair
     0.18%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] __skb_datagram_iter
     0.18%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] skb_copy_datagram_iter
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_output
     0.17%     0.00%  kswapd0          [kernel.kallsyms]                   [k] __delete_from_page_cache
     0.17%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ip_finish_output
     0.17%     0.02%  swapper          [kernel.kallsyms]                   [k] sched_ttwu_pending
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] io_schedule
