# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10490410651502
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                           
# ........  ........  ...............  ..........................  .................................................................................................................................................................................
#
     0.50%     0.17%  mariadbd         [kernel.kallsyms]           [k] set_task_cpu
     0.50%     0.03%  mariadbd         [kernel.kallsyms]           [k] iomap_dio_bio_end_io
     0.49%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_da_write_begin
     0.49%     0.46%  mariadbd         [kernel.kallsyms]           [k] llist_add_batch
     0.48%     0.48%  mariadbd         [kernel.kallsyms]           [k] update_cfs_group
     0.48%     0.02%  mariadbd         [kernel.kallsyms]           [k] sched_ttwu_pending
     0.48%     0.48%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_cfs_rq
     0.48%     0.01%  swapper          [kernel.kallsyms]           [k] amd_pmu_disable_all
     0.48%     0.04%  swapper          [kernel.kallsyms]           [k] update_blocked_averages
     0.47%     0.15%  swapper          [kernel.kallsyms]           [k] set_next_entity
     0.46%     0.00%  kswapd0          [kernel.kallsyms]           [k] arch_tlbbatch_flush
     0.46%     0.01%  mariadbd         [kernel.kallsyms]           [k] __mark_inode_dirty
     0.45%     0.04%  mariadbd         [kernel.kallsyms]           [k] submit_bio
     0.45%     0.41%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock
     0.45%     0.08%  swapper          [kernel.kallsyms]           [k] finish_task_switch.isra.0
     0.45%     0.00%  kswapd0          [kernel.kallsyms]           [k] try_to_unmap_flush_dirty
     0.45%     0.02%  mariadbd         [kernel.kallsyms]           [k] ext4_es_insert_extent
     0.44%     0.04%  mariadbd         [kernel.kallsyms]           [k] exit_to_user_mode_loop
     0.42%     0.02%  mariadbd         [kernel.kallsyms]           [k] free_swap_slot
     0.41%     0.41%  mariadbd         [kernel.kallsyms]           [k] cpuacct_charge
     0.41%     0.03%  mariadbd         [kernel.kallsyms]           [k] update_blocked_averages
     0.41%     0.41%  swapper          [kernel.kallsyms]           [k] read_tsc
     0.41%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dirty_inode
     0.41%     0.02%  mariadbd         [kernel.kallsyms]           [k] gup_pud_range.constprop.0
     0.41%     0.05%  swapper          [kernel.kallsyms]           [k] rebalance_domains
     0.41%     0.40%  mariadbd         [kernel.kallsyms]           [k] __list_del_entry_valid
     0.40%     0.02%  swapper          [kernel.kallsyms]           [k] try_to_wake_up
     0.40%     0.15%  kswapd0          [kernel.kallsyms]           [k] smp_call_function_many_cond
     0.40%     0.00%  kswapd0          [kernel.kallsyms]           [k] on_each_cpu_cond_mask
     0.40%     0.39%  mariadbd         [kernel.kallsyms]           [k] __update_load_avg_se
     0.40%     0.05%  swapper          [kernel.kallsyms]           [k] __hrtimer_start_range_ns
     0.39%     0.00%  mariadbd         [kernel.kallsyms]           [k] swapcache_free_entries
     0.39%     0.39%  mariadbd         [kernel.kallsyms]           [k] update_cfs_rq_h_load
     0.38%     0.07%  mariadbd         [kernel.kallsyms]           [k] kmem_cache_alloc_node
     0.38%     0.06%  swapper          [kernel.kallsyms]           [k] clockevents_program_event
     0.38%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] consume_skb
     0.38%     0.38%  mariadbd         libpthread-2.28.so          [.] __pthread_mutex_lock
     0.38%     0.05%  mariadbd         [kernel.kallsyms]           [k] gup_pmd_range.constprop.0
