# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6625486293113
#
# Children      Self  Command          Shared Object               Symbol                                                                                                                                                                                                                    
# ........  ........  ...............  ..........................  ..........................................................................................................................................................................................................................
#
     0.26%     0.18%  mariadbd         [kernel.kallsyms]           [k] kfree
     0.26%     0.16%  mariadbd         [kernel.kallsyms]           [k] update_rq_clock_task
     0.26%     0.04%  tclsh8.6         [kernel.kallsyms]           [k] skb_release_data
     0.26%     0.17%  swapper          [kernel.kallsyms]           [k] x86_pmu_disable_all
     0.26%     0.01%  mariadbd         [kernel.kallsyms]           [k] ext4_dirty_inode
     0.26%     0.02%  mariadbd         [kernel.kallsyms]           [k] update_blocked_averages
     0.26%     0.19%  swapper          [kernel.kallsyms]           [k] __hrtimer_next_event_base
     0.26%     0.05%  swapper          [kernel.kallsyms]           [k] ttwu_do_wakeup
     0.25%     0.07%  swapper          [kernel.kallsyms]           [k] need_update
     0.25%     0.25%  mariadbd         [kernel.kallsyms]           [k] update_cfs_rq_h_load
     0.25%     0.25%  swapper          [kernel.kallsyms]           [k] _raw_spin_lock_irqsave
     0.25%     0.12%  swapper          [kernel.kallsyms]           [k] __update_blocked_fair
     0.25%     0.07%  swapper          [kernel.kallsyms]           [k] get_next_timer_interrupt
     0.25%     0.01%  mariadbd         [kernel.kallsyms]           [k] touch_atime
     0.25%     0.01%  swapper          [kernel.kallsyms]           [k] irq_enter_rcu
     0.25%     0.25%  mariadbd         [kernel.kallsyms]           [k] __switch_to_asm
     0.24%     0.24%  mariadbd         [kernel.kallsyms]           [k] save_fpregs_to_fpstate
     0.24%     0.01%  mariadbd         [kernel.kallsyms]           [k] __smp_call_single_queue
     0.24%     0.24%  swapper          [kernel.kallsyms]           [k] __switch_to
     0.24%     0.09%  mariadbd         [kernel.kallsyms]           [k] gup_pmd_range.constprop.0
     0.23%     0.02%  mariadbd         [kernel.kallsyms]           [k] pick_next_task_idle
     0.23%     0.00%  mariadbd         [kernel.kallsyms]           [k] aio_read
     0.23%     0.23%  mariadbd         [kernel.kallsyms]           [k] llist_add_batch
     0.23%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] unix_stream_read_actor
     0.23%     0.04%  swapper          [kernel.kallsyms]           [k] tick_irq_enter
     0.23%     0.01%  mariadbd         [kernel.kallsyms]           [k] obj_cgroup_charge
     0.23%     0.00%  tclsh8.6         [kernel.kallsyms]           [k] skb_copy_datagram_iter
     0.22%     0.00%  mariadbd         [kernel.kallsyms]           [k] alloc_pages_vma
     0.22%     0.01%  tclsh8.6         [kernel.kallsyms]           [k] __skb_datagram_iter
     0.22%     0.02%  tclsh8.6         [kernel.kallsyms]           [k] dequeue_task_fair
     0.22%     0.14%  mariadbd         [kernel.kallsyms]           [k] plist_add
