# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     0.33%     0.04%  kcompactd0       [kernel.kallsyms]      [k] ptep_clear_flush
     0.33%     0.07%  postgres         [kernel.kallsyms]      [k] psi_task_change
     0.33%     0.00%  swapper          [kernel.kallsyms]      [k] run_rebalance_domains
     0.33%     0.01%  tclsh8.6         [kernel.kallsyms]      [k] unix_stream_sendmsg
     0.33%     0.01%  postgres         [kernel.kallsyms]      [k] lru_cache_add
     0.33%     0.00%  postgres         [kernel.kallsyms]      [k] handle_edge_irq
     0.32%     0.32%  postgres         [kernel.kallsyms]      [k] __restore_fpregs_from_fpstate
     0.32%     0.32%  swapper          [unknown]              [.] 0000000000000000
     0.32%     0.05%  postgres         [kernel.kallsyms]      [k] psi_task_switch
     0.32%     0.00%  postgres         [kernel.kallsyms]      [k] consume_skb
     0.32%     0.01%  postgres         [kernel.kallsyms]      [k] __wake_up_common
     0.32%     0.00%  postgres         [kernel.kallsyms]      [k] handle_irq_event
     0.31%     0.02%  swapper          [kernel.kallsyms]      [k] enqueue_task
     0.31%     0.31%  postgres         [unknown]              [.] 0000000000000000
     0.31%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_ext_map_blocks
     0.30%     0.00%  postgres         [kernel.kallsyms]      [k] __handle_irq_event_percpu
     0.30%     0.00%  postgres         [kernel.kallsyms]      [k] nvme_irq
     0.30%     0.01%  postgres         [kernel.kallsyms]      [k] nvme_process_cq
     0.30%     0.02%  postgres         [kernel.kallsyms]      [k] __mod_lruvec_state
     0.30%     0.01%  postgres         [kernel.kallsyms]      [k] __lock_text_start
     0.29%     0.02%  postgres         [kernel.kallsyms]      [k] ext4_find_extent
     0.29%     0.01%  kswapd0          [kernel.kallsyms]      [k] shrink_slab
     0.29%     0.02%  kcompactd0       [kernel.kallsyms]      [k] flush_tlb_mm_range
     0.29%     0.27%  postgres         [kernel.kallsyms]      [k] sock_wfree
     0.29%     0.00%  postgres         [kernel.kallsyms]      [k] nvme_pci_complete_rq
     0.28%     0.01%  postgres         [kernel.kallsyms]      [k] hrtimer_interrupt
     0.28%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_sync_file
     0.28%     0.00%  postgres         [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.28%     0.22%  swapper          [kernel.kallsyms]      [k] update_blocked_averages
     0.28%     0.00%  postgres         [kernel.kallsyms]      [k] skb_release_head_state
     0.28%     0.16%  kcompactd0       [kernel.kallsyms]      [k] vma_interval_tree_iter_next
     0.28%     0.00%  kswapd0          [kernel.kallsyms]      [k] do_shrink_slab
     0.28%     0.00%  postgres         [kernel.kallsyms]      [k] unix_destruct_scm
     0.28%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_fdatasync
     0.28%     0.00%  swapper          [kernel.kallsyms]      [k] asm_common_interrupt
     0.27%     0.00%  postgres         [kernel.kallsyms]      [k] __getblk_gfp
     0.27%     0.00%  swapper          [kernel.kallsyms]      [k] common_interrupt
     0.27%     0.00%  postgres         [kernel.kallsyms]      [k] inet_sendmsg
     0.27%     0.00%  postgres         [kernel.kallsyms]      [k] udp_sendmsg
     0.27%     0.24%  postgres         [kernel.kallsyms]      [k] do_set_pte
     0.27%     0.00%  postgres         [kernel.kallsyms]      [k] nvme_complete_rq
     0.27%     0.00%  swapper          [kernel.kallsyms]      [k] __common_interrupt
     0.26%     0.00%  postgres         [kernel.kallsyms]      [k] blk_mq_end_request
     0.26%     0.00%  swapper          [kernel.kallsyms]      [k] handle_edge_irq
     0.26%     0.00%  postgres         [kernel.kallsyms]      [k] file_write_and_wait_range
     0.26%     0.25%  postgres         [kernel.kallsyms]      [k] update_numa_stats
     0.25%     0.00%  swapper          [kernel.kallsyms]      [k] handle_irq_event
