# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] wb_workfn
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] wb_writeback
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] do_writepages
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.42%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.41%     0.08%  kswapd0          [kernel.kallsyms]                                 [k] isolate_lru_pages
     0.41%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] xa_get_order
     0.40%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] rcu_core
     0.40%     0.40%  Executor task l  [kernel.kallsyms]                                 [k] __irqentry_text_end
     0.39%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] __unmap_and_move
     0.39%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] alloc_buffer_head
     0.39%     0.39%  kswapd0          [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.38%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_get_block_prep
     0.37%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] timerqueue_del
     0.36%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __block_commit_write.constprop.0.isra.0
     0.36%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_map_blocks.constprop.0
     0.36%     0.04%  kswapd0          [kernel.kallsyms]                                 [k] free_pcppages_bulk
     0.35%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] ext4_do_flush_completed_IO.isra.0
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] wb_workfn
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.35%     0.00%  kworker/u64:32-  [kernel.kallsyms]                                 [k] wb_writeback
