# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     0.45%     0.00%  java             [kernel.kallsyms]   [k] unmap_single_vma
     0.45%     0.00%  java             [kernel.kallsyms]   [k] unmap_vmas
     0.45%     0.09%  java             [kernel.kallsyms]   [k] unmap_page_range
     0.45%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] handle_mm_fault
     0.44%     0.00%  java             [kernel.kallsyms]   [k] tick_sched_handle
     0.44%     0.07%  InMemoryMerger   [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     0.44%     0.39%  localfetcher#1   [kernel.kallsyms]   [k] _raw_spin_lock
     0.44%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] __alloc_pages
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kcompactd
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] kthread
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] ret_from_fork
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] proactive_compact_node
     0.43%     0.00%  kcompactd1       [kernel.kallsyms]   [k] compact_zone
     0.43%     0.03%  kworker/u96:0-e  [kernel.kallsyms]   [k] end_page_writeback
     0.43%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] alloc_pages
     0.42%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] workingset_refault
     0.42%     0.03%  kcompactd0       [kernel.kallsyms]   [k] compaction_alloc
     0.42%     0.08%  java             [kernel.kallsyms]   [k] update_curr
     0.42%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] mem_cgroup_flush_stats
     0.41%     0.05%  InMemoryMerger   [kernel.kallsyms]   [k] get_page_from_freelist
     0.40%     0.02%  InMemoryMerger   [kernel.kallsyms]   [k] __mark_inode_dirty
     0.40%     0.00%  kcompactd1       [kernel.kallsyms]   [k] migrate_pages
     0.40%     0.05%  java             [kernel.kallsyms]   [k] get_page_from_freelist
     0.40%     0.35%  kswapd1          [kernel.kallsyms]   [k] isolate_lru_pages
     0.40%     0.00%  java             [kernel.kallsyms]   [k] alloc_pages_vma
     0.40%     0.15%  pool-4-thread-1  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.39%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_dirty_inode
     0.38%     0.09%  kworker/u96:0-e  [kernel.kallsyms]   [k] test_clear_page_writeback
     0.38%     0.04%  kswapd1          [kernel.kallsyms]   [k] __remove_mapping
     0.36%     0.36%  InMemoryMerger   [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     0.36%     0.03%  kswapd0          [kernel.kallsyms]   [k] __remove_mapping
     0.36%     0.35%  localfetcher#1   [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.35%     0.19%  java             [kernel.kallsyms]   [k] numa_migrate_prep
     0.35%     0.08%  LocalJobRunner   [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.35%     0.00%  kworker/u98:4-f  [kernel.kallsyms]   [k] mpage_submit_page
     0.34%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] exit_to_user_mode_prepare
     0.34%     0.12%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.34%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] task_work_run
     0.34%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] task_numa_work
     0.34%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] change_prot_numa
     0.34%     0.03%  localfetcher#1   [kernel.kallsyms]   [k] lru_cache_add
     0.33%     0.05%  pool-4-thread-1  [kernel.kallsyms]   [k] __block_commit_write.constprop.0.isra.0
     0.33%     0.33%  LocalJobRunner   [kernel.kallsyms]   [k] native_queued_spin_lock_slowpath
     0.33%     0.10%  LocalJobRunner   [kernel.kallsyms]   [k] __handle_mm_fault
     0.32%     0.01%  java             [kernel.kallsyms]   [k] scheduler_tick
     0.32%     0.04%  java             [kernel.kallsyms]   [k] pick_next_task_fair
     0.32%     0.03%  java             [kernel.kallsyms]   [k] yield_task_fair
     0.31%     0.01%  kswapd1          [kernel.kallsyms]   [k] rmap_walk
     0.31%     0.04%  localfetcher#1   [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.31%     0.30%  localfetcher#1   [kernel.kallsyms]   [k] change_protection
     0.30%     0.06%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_get_block_prep
     0.30%     0.02%  LocalJobRunner   [kernel.kallsyms]   [k] futex_wait
     0.30%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] __ext4_journal_start_sb
     0.30%     0.00%  localfetcher#1   [kernel.kallsyms]   [k] __do_munmap
